slug,rating,roaster,name,roast,review_date,agtron,aroma,acid,body,flavor,aftertaste,desc_1,desc_2,desc_3,location_country,origin_country,price_per_100g
https://www.coffeereview.com/review/ethiopia-shakiso-mormora/,92,Revel Coffee,Ethiopia Shakiso Mormora,Medium-Light,November 2017,54/70,9,8,8,9,8,"Crisply sweet, cocoa-toned. Lemon blossom, roasted cacao nib, date, rice candy, white peppercorn in aroma and cup. Savory-tart structure; delicate, silky mouthfeel. The richly drying finish leads with cocoa-toned, crisply sweet floral notes in the short and a hint of spice (white peppercorn) in the long.","This coffee tied for the third-highest rating in a tasting of 71 organic-certified coffees from Africa for Coffee Review’s November 2017 tasting report. Southern Ethiopia coffees like this one are produced from traditional Ethiopian varieties of Arabica long grown in the region. When processed by the wet or washed method (fruit skin and pulp are removed before drying) they typically express great aromatic complexity and intensity with a particular emphasis on floral notes. Like virtually all southern Ethiopia coffees, this coffee is produced by villagers on small, garden plots interplanted with food and other subsistence crops. Revel Coffee is a micro-roaster located in Billings, Montana. Its motto: “Quality is paramount — a difference you can revel in.” Visit www.revelcoffee.com or call 406-534-9621 for more information.","A gently spice-toned, floral- driven wet-processed Ethiopia cup with pleasing notes of cocoa throughout.",United States,Ethiopia,4.703198763058726
https://www.coffeereview.com/review/ethiopia-suke-quto/,92,Roast House,Ethiopia Suke Quto,Medium-Light,November 2017,53/79,8,8,9,9,8,"Delicate, sweetly spice-toned. Pink peppercorn, date, myrrh, lavender, roasted cacao nib in aroma and cup. Crisp, spice-toned structure with citrus-like acidity; satiny, very smooth mouthfeel. The crisply sweet finish centers around spice and pungent floral notes.","This coffee tied for the third-highest rating in a tasting of 71 organic-certified coffees from Africa for Coffee Review’s November 2017 tasting report. Southern Ethiopia coffees like this one are produced from traditional Ethiopian varieties of Arabica long grown in the region. When processed by the wet or washed method (fruit skin and pulp are removed before drying) they typically express great aromatic complexity and intensity with a particular emphasis on floral notes. Like virtually all southern Ethiopia coffees, this one is produced by villagers on small, garden plots interplanted with food and other subsistence crops. Roast House is a small-batch, quality-focused roaster specializing in farm-direct organic-certified and Fair Trade Certified coffees. Visit roasthousecoffee.com or call 509-995-6500 for more information.",Lavender-like flowers and hints of zesty pink peppercorn animate this crisply sweet wet-processed Ethiopia cup.,United States,Ethiopia,4.188786398349177
https://www.coffeereview.com/review/ethiopia-gedeb-halo-beriti/,94,Big Creek Coffee Roasters,Ethiopia Gedeb Halo Beriti,Medium,November 2017,48/70,9,9,9,9,8,"Deeply sweet, subtly pungent. Honey, pear, tangerine zest, dark chocolate, pistachio in aroma and cup. Sweet and juicy yet crisp in structure (think ripe pear); plush and buoyant in mouthfeel. Resonant and flavor saturated in the short finish; simplifies around hints of tangerine and pistachio in the long.","Southern Ethiopia coffees like this one are produced from distinctive traditional Ethiopian varieties of Arabica long grown in the region. Like virtually all southern Ethiopia coffees, this coffee is produced by villagers on small garden plots interplanted with food and other subsistence crops. Processed by the wet or washed method (fruit skin and pulp are removed before drying). This coffee tied for the highest rating in a tasting of 71 organic-certified coffees from Africa for Coffee Review’s November 2017 tasting report. Big Creek Coffee Roasters is a small, quality-oriented batch roaster located in Montana’s Bitterroot Valley. Visit www.bigcreekcoffeeroasters.com or call 406-375-7508 for more information.","A deeply and generously lush cup saved from sentimentality by a crisp, incense-like, slightly savory edge. Very wide range of aromatics.",United States,Ethiopia,4.850173724404311
https://www.coffeereview.com/review/ethiopia-kayon-mountain-2/,93,Red Rooster Coffee Roaster,Ethiopia Kayon Mountain,Light,November 2017,66/92,9,8,9,9,8,"Delicate, richly and sweetly tart. Dried hibiscus, fine musk, almond, sandalwood, raspberry in aroma and cup. Fruit-toned, deeply sweet structure with gently-expressed acidity; buoyant, satiny-smooth mouthfeel. The crisp, flavor-saturated finish is characterized by sweet-tart fruit and floral tones (raspberry, hibiscus).","This coffee tied for the second-highest rating in a tasting of 71 organic-certified coffees from Africa for Coffee Review’s November 2017 tasting report. Southern Ethiopia coffees like this one are produced from distinctive traditional Ethiopian varieties of Arabica long grown in the region. Like virtually all southern Ethiopia coffees, this coffee is produced by villagers on small garden plots interplanted with food and other subsistence crops. This is a dry-processed or “natural” coffee, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Certified USDA organic. Established in 2010, Red Rooster is an organic-certified micro-roaster focusing on socially conscious coffee and high-quality coffee. Visit redroostercoffee.com or call 540-745-7338 for more information.","A lively and crisply sweet, fruit-forward natural-processed Ethiopia cup.",United States,Ethiopia,5.14118414786857
https://www.coffeereview.com/review/ethiopia-gelgelu-natural-organic/,93,Willoughby's Coffee & Tea,Ethiopia Gelgelu Natural Organic,Medium-Light,November 2017,54/75,9,8,9,9,8,"High-toned, floral. Dried apricot, magnolia, almond butter, maple syrup, cherry brandy in aroma and cup. Crisp, sweetly-tart in structure; plush, syrupy mouthfeel. Notes of magnolia and dried apricot dominate in the flavor-laden short finish, with hints of almond butter and fruit brandy in the long.","This coffee tied for the second-highest rating in a tasting of 71 organic-certified coffees from Africa for Coffee Review’s November 2017 tasting report. Southern Ethiopia coffees like this one are produced from traditional Ethiopian varieties of Arabica long grown in the region. This is a dry-processed or “natural” Yirgacheffe, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Certified USDA organic. Willoughby’s Coffee & Tea is a pioneer specialty coffee roaster established in the early 1980s that has gracefully and successfully moved with the times and now offers a menu of extremely refined small-lot, single-origin coffees. Visit www.willoughbyscoffee.com or call 800-388-8400 for more information.","A deeply sweet natural-processed Ethiopia cup, with stone fruit and brandy notes as parallel throughlines.",United States,Ethiopia,3.9661193319106154
https://www.coffeereview.com/review/ethiopia-hambela-alaka/,93,Black Oak Coffee Roasters,Ethiopia Hambela Alaka,Medium-Light,November 2017,58/80,9,8,9,9,8,"Very delicate, sweetly savory. Lemon verbena, allspice, dried persimmon, dogwood, baker’s chocolate in aroma and cup. Balanced, sweet-savory structure; velvety-smooth mouthfeel. The sweetly herb-toned finish centers on notes of lemon verbena and dried persimmon wrapped in baker’s chocolate.","This coffee tied for the second-highest rating in a tasting of 71 organic-certified coffees from Africa for Coffee Review’s November 2017 tasting report. Southern Ethiopia produces distinctive coffees from traditional varieties of Arabica long grown in the region. This lot was processed by the wet or washed method (fruit skin and pulp are removed before drying). Certified USDA organic. Artisan coffee-roasters in the northern California town of Ukiah, Black Oak’s mission is to bring to life each carefully selected coffee’s unique origins. For more information, visit www.blackoakcoffee.com.","A delicate, richly sweet wet-processed Ethiopia: spice, herb, fruit and flowers in intricate balance.",United States,Ethiopia,5.144123647095481
https://www.coffeereview.com/review/organic-ethiopia-kirite/,93,Wonderstate Coffee,Organic Ethiopia Kirite,Medium-Light,November 2017,58/81,9,9,8,9,8,"High-toned, crisply sweet. Lemon blossom, apricot, frankincense, spearmint, roasted cacao nib in aroma and cup. Balanced, complete sweet-savory structure; satiny, full mouthfeel. Sweet spearmint notes carry the cocoa-toned finish, with hints of lemon blossom and apricot.","This coffee tied for the second-highest rating in a tasting of 71 organic-certified coffees from Africa for Coffee Review’s November 2017 tasting report. Produced by the METAD farm and mill in southern Ethiopia. Southern Ethiopia produces distinctive coffees from traditional varieties of Arabica long grown in the region. Coffees like this one processed by the wet or washed method (fruit skin and pulp is removed before drying) typically express great aromatic complexity and intensity with a particular emphasis on citrus and floral notes. Ceritifed USDA organic. Wonderstate Coffee, formerly Kickapoo Coffee, is an award-winning roaster based in rural Wisconsin known for their commitment to guaranteeing higher pay for farmers and being the country’s first 100% solar powered roastery. Visit https://wonderstate.com for more information.","An inviting wet-processed Ethiopia cup. Invokes a walk through a citrus orchard in spring, with a bonus of sweet herb and cocoa tones.",United States,Ethiopia,5.291098608441066
https://www.coffeereview.com/review/ethiopia-sidama/,94,Reunion Island Coffee,Ethiopia Sidama,Medium,November 2017,47/72,9,9,9,9,8,"Balanced, sweet-savory. Red currant, roasted cacao nib, clove, blood orange zest, frankincense in aroma and cup. Savory-sweet structure with lively acidity; syrupy mouthfeel. The resonant, spice-toned finish leads with intimations of clove and roasted cacao nib in the short, rounding to rich fruit tones with hints of frankincense in the long.","This exceptional coffee was selected as the No. 17 coffee on Coffee Review’s list of the Top 30 Coffees of 2017.  This coffee also tied for the highest rating in a tasting of 71 organic-certified coffees from Africa for Coffee Review’s November 2017 tasting report. Southern Ethiopia coffees like this one are produced from distinctive traditional Ethiopian varieties of Arabica long grown in the region. Like virtually all southern Ethiopia coffees, this coffee is produced by villagers on small garden plots interplanted with food and other subsistence crops. This lot was processed by the wet or washed method (fruit skin and pulp are removed before drying). Organic and Fair Trade certified, the latter meaning they were purchased from small-holding farmers at a “fair” or economically sustainable price. Reunion Island Coffee is a quality-oriented roasting company founded by Canadian specialty coffee veteran Peter Pesce. Visit www.reunionislandcoffee.com or call 800-565-5950 for more information.","An elegantly expressive, fruit-forward but savory-leaning Ethiopia cup.",Canada,Ethiopia,3.747861514312422
https://www.coffeereview.com/review/thiriku-aa-kenya/,95,PT's Coffee Roasting,Thiriku AA Kenya,Medium,November 2017,47/65,9,9,9,9,9,"Intense; deep, spice-complicated sweetness. Black currant, baker’s chocolate, peppercorn medley, black sage, a hint of lush lily in aroma and cup. Balanced and lively in structure: sweetly tart with a savory edge. Plush, silky mouthfeel. Chocolate moves forward in a resonant, long, lively finish.","Produced by the Thiriku Coffee Growers Cooperative Society from trees of the SL-28, SL-34 and Ruiru varieties of Arabica. Processed by a particularly meticulous Kenya variation on the traditional wet or “washed” method, in which skin and fruit flesh are removed from the beans or seeds before they are dried. AA is the highest grade of Kenya coffee based on bean size and freedom from imperfections. Roasted at PT’s Coffee, where the motto is “without the love, it’s just coffee.” Visit www.ptscoffee.com or call 888-678-5282 for more information.","Mysterious and extraordinary in the Kenya style: simultaneously sweet, savory, tart and entirely and grandly vibrant.",United States,Kenya,7.2017731059336745
https://www.coffeereview.com/review/ethiopia-natural-yirgacheffe-tore/,93,Kakalove Cafe,Ethiopia Natural Yirgacheffe Tore,Medium-Light,November 2017,55/77,9,8,9,9,8,"Deeply crisp, lushly floral. Rose, almond, dark chocolate, lime zest, peppermint in aroma and cup. Tartly sweet with a clear savory edge in structure; plump, juicy mouthfeel. Finish is complex and resonant in the short, consolidating around a fading lime and mint in the long. ","Southern Ethiopia coffees like this one are produced from distinctive traditional Ethiopian varieties of Arabica long grown in the region. Like virtually all southern Ethiopia coffees, this coffee is produced by villagers on small garden plots interplanted with food and other subsistence crops. Processed by the dry or “natural” method, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or ""washed"" coffees. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information","An intense cup, zesty but juicy, alive with rose-like flowers, mint and lime.",Taiwan,Ethiopia,3.8801389795234487
